studentID,Q1,Q2,Q3,Q4,Q5,Q6,Q7,Q8,Q9,Q10,Q11,Q12,Q13,Q14,Q15,Q16,Q17,Q18,Q19,Q20
Y8VE707P,Answer_A,Answer_B,Answer_C,Answer_D,Answer_E,Answer_A,Answer_B,Answer_C,Answer_D,Answer_E,Answer_A,Answer_B,Answer_C,Answer_D,Answer_E,Answer_A,Answer_B,Answer_C,Answer_D,Answer_E
I4QKDL5A,Answer_A,Answer_B,Answer_C,Answer_D,Answer_E,Answer_A,Answer_B,Answer_C,Answer_D,Answer_E,Answer_A,Answer_B,Answer_C,Answer_D,Answer_E,Answer_A,Answer_B,Answer_C,Answer_D,Answer_E
Y1LHV2GF,Answer_A,Answer_B,Answer_C,Answer_D,Answer_E,Answer_A,Answer_B,Answer_C,Answer_D,Answer_E,Answer_A,Answer_B,Answer_C,Answer_D,Answer_E,Answer_A,Answer_B,Answer_C,Answer_D,Answer_E
FPYP3E1U,Answer_A,Answer_B,Answer_C,Answer_D,Answer_E,Answer_A,Answer_B,Answer_C,Answer_D,Answer_E,Answer_A,Answer_B,Answer_C,Answer_D,Answer_E,Answer_A,Answer_B,Answer_C,Answer_D,Answer_E
BZTJ66PV,Answer_A,Answer_B,Answer_C,Answer_D,Answer_E,Answer_A,Answer_B,Answer_C,Answer_D,Answer_E,Answer_A,Answer_B,Answer_C,Answer_D,Answer_E,Answer_A,Answer_B,Answer_C,Answer_D,Answer_E
8BN0ZJ19,Answer_A,Answer_B,Answer_C,Answer_D,Answer_E,Answer_A,Answer_B,Answer_C,Answer_D,Answer_E,Answer_A,Answer_B,Answer_C,Answer_D,Answer_E,Answer_A,Answer_B,Answer_C,Answer_D,Answer_E
H9DROUK0,Answer_A,Answer_B,Answer_C,Answer_D,Answer_E,Answer_A,Answer_B,Answer_C,Answer_D,Answer_E,Answer_A,Answer_B,Answer_C,Answer_D,Answer_E,Answer_A,Answer_B,Answer_C,Answer_D,Answer_E
82YMUXUR,Answer_A,Answer_B,Answer_C,Answer_D,Answer_E,Answer_A,Answer_B,Answer_C,Answer_D,Answer_E,Answer_A,Answer_B,Answer_C,Answer_D,Answer_E,Answer_A,Answer_B,Answer_C,Answer_D,Answer_E
S342YUM6,Answer_A,Answer_B,Answer_C,Answer_D,Answer_E,Answer_A,Answer_B,Answer_C,Answer_D,Answer_E,Answer_A,Answer_B,Answer_C,Answer_D,Answer_E,Answer_A,Answer_B,Answer_C,Answer_D,Answer_E
ZZ5NQOI8,Answer_A,Answer_B,Answer_C,Answer_D,Answer_E,Answer_A,Answer_B,Answer_C,Answer_D,Answer_E,Answer_A,Answer_B,Answer_C,Answer_D,Answer_E,Answer_A,Answer_B,Answer_C,Answer_D,Answer_E
CFW6N4W4,Answer_A,Answer_B,Answer_C,Answer_D,Answer_E,Answer_A,Answer_B,Answer_C,Answer_D,Answer_E,Answer_A,Answer_B,Answer_C,Answer_D,Answer_E,Answer_A,Answer_B,Answer_C,Answer_D,Answer_E
BGDI0F3R,Answer_A,Answer_B,Answer_C,Answer_D,Answer_E,Answer_A,Answer_B,Answer_C,Answer_D,Answer_E,Answer_A,Answer_B,Answer_C,Answer_D,Answer_E,Answer_A,Answer_B,Answer_C,Answer_D,Answer_E
2F2DBTZF,Answer_A,Answer_B,Answer_C,Answer_D,Answer_E,Answer_A,Answer_B,Answer_C,Answer_D,Answer_E,Answer_A,Answer_B,Answer_C,Answer_D,Answer_E,Answer_A,Answer_B,Answer_C,Answer_D,Answer_E
S19TVH0L,Answer_A,Answer_B,Answer_C,Answer_D,Answer_E,Answer_A,Answer_B,Answer_C,Answer_D,Answer_E,Answer_A,Answer_B,Answer_C,Answer_D,Answer_E,Answer_A,Answer_B,Answer_C,Answer_D,Answer_E
BNM444FS,Answer_A,Answer_B,Answer_C,Answer_D,Answer_E,Answer_A,Answer_B,Answer_C,Answer_D,Answer_E,Answer_A,Answer_B,Answer_C,Answer_D,Answer_E,Answer_A,Answer_B,Answer_C,Answer_D,Answer_E
TJE65WAF,Answer_A,Answer_B,Answer_C,Answer_D,Answer_E,Answer_A,Answer_B,Answer_C,Answer_D,Answer_E,Answer_A,Answer_B,Answer_C,Answer_D,Answer_E,Answer_A,Answer_B,Answer_C,Answer_D,Answer_E
2NRUX9GU,Answer_A,Answer_B,Answer_C,Answer_D,Answer_E,Answer_A,Answer_B,Answer_C,Answer_D,Answer_E,Answer_A,Answer_B,Answer_C,Answer_D,Answer_E,Answer_A,Answer_B,Answer_C,Answer_D,Answer_E
YADCQQIM,Answer_A,Answer_B,Answer_C,Answer_D,Answer_E,Answer_A,Answer_B,Answer_C,Answer_D,Answer_E,Answer_A,Answer_B,Answer_C,Answer_D,Answer_E,Answer_A,Answer_B,Answer_C,Answer_D,Answer_E
EE46XTJ6,Answer_A,Answer_B,Answer_C,Answer_D,Answer_E,Answer_A,Answer_B,Answer_C,Answer_D,Answer_E,Answer_A,Answer_B,Answer_C,Answer_D,Answer_E,Answer_A,Answer_B,Answer_C,Answer_D,Answer_E
PI8VHPSQ,Answer_A,Answer_B,Answer_C,Answer_D,Answer_E,Answer_A,Answer_B,Answer_C,Answer_D,Answer_E,Answer_A,Answer_B,Answer_C,Answer_D,Answer_E,Answer_A,Answer_B,Answer_C,Answer_D,Answer_E
