studentID,correct_answers,total_questions,accuracy
,49,50,98.0
,12,50,24.0
0012516830,11,50,22.0
1234567880,15,50,30.0
001451603,11,50,22.0
1234567898,9,50,18.0
9898243333,14,50,28.0
6664327214,7,50,14.0
090203,10,50,20.0
,10,50,20.0
123456780,11,50,22.0
0139284121,8,50,16.0
7777777777,10,50,20.0
0000000000,6,50,12.0
9999199999,9,50,18.0
0033225479,9,50,18.0
0232111000,10,50,20.0
1111222233,9,50,18.0
0123456789,9,50,18.0
0009999999,11,50,22.0
3197461040,12,50,24.0
0135789069,11,50,22.0
0215314729,6,50,12.0
,7,50,14.0
0011343242,7,50,14.0
1019987654,13,50,26.0
001135107,4,50,8.0
653443210,10,50,20.0
0030000000,4,50,8.0
0123456789,9,50,18.0
0123333344,10,50,20.0
158312844,5,50,10.0
1234567890,13,50,26.0
0000200102,10,50,20.0
11062,11,50,22.0
1221122133,10,50,20.0
0123456789,7,50,14.0
0011763210,17,50,34.0
1122443579,9,50,18.0
1000000001,8,50,16.0
7777777777,5,50,10.0
123456781,7,50,14.0
0000000000,11,50,22.0
017923477,10,50,20.0
462307175,16,50,32.0
42069,6,50,12.0
